Workflow Count: 30 alft_Task execution time : 0.2 vita_Data transfer time: 0.2 gama_Deadline Factor: 4.0
Repeat	workflowNum	Name	totalCost	               totalRU	totalSR	   DD	  ST
8	500.0	NOSF	126276.52540	0.87007	0.61600	-0.00308	1.00162
8	500.0	RMWS	149508.23280	0.88104	0.88400	-0.28557	1.93411
9	500.0	ROSA	221833.60000	0.75535	0.72000	-0.00503	2.57490
9	500.0	NOSF	129376.77560	0.84043	0.54600	0.00799	1.26052
9	500.0	RMWS	152417.83620	0.85730	0.86400	-0.30165	2.27996
Average:	500.0	ROSA	236688.28000	0.74691	0.71080	-0.00095	2.49190
Average:	500.0	NOSF	129182.35790	0.85587	0.57440	0.00216	1.14317
Average:	500.0	RMWS	156492.36158	0.86361	0.86740	-0.27996	1.94903
0	1000.0	ROSA	481157.20000	0.71306	0.70200	-0.00009	4.43874
0	1000.0	NOSF	215349.51520	0.88319	0.59400	-0.00355	1.75920
0	1000.0	RMWS	380070.70760	0.79569	0.91300	-0.39072	3.38789
1	1000.0	ROSA	449980.40000	0.78141	0.69800	0.00133	4.18424
1	1000.0	NOSF	235734.93640	0.88283	0.54700	0.01166	1.95582
1	1000.0	RMWS	404308.83180	0.78487	0.91500	-0.39340	3.40927
2	1000.0	ROSA	490193.20000	0.70554	0.65600	0.01388	4.54483
2	1000.0	NOSF	227768.67160	0.87748	0.58400	0.00561	1.85536
2	1000.0	RMWS	384979.25560	0.78992	0.93300	-0.40633	4.03816
3	1000.0	ROSA	447642.40000	0.72271	0.70500	0.00207	4.08035
3	1000.0	NOSF	201700.06040	0.87390	0.55800	0.01192	1.80837
3	1000.0	RMWS	382532.47320	0.76944	0.93900	-0.42536	4.03514
4	1000.0	ROSA	442466.00000	0.68626	0.69200	0.01915	4.45199
4	1000.0	NOSF	198749.85780	0.85029	0.57300	0.01166	1.94964
4	1000.0	RMWS	370160.67840	0.74821	0.95100	-0.42227	4.07655
5	1000.0	ROSA	456696.00000	0.80554	0.70900	-0.00486	3.66349
5	1000.0	NOSF	247799.23840	0.88978	0.60200	0.00281	1.65557
5	1000.0	RMWS	391417.53060	0.83186	0.92400	-0.39168	3.37703
6	1000.0	ROSA	518281.60000	0.74876	0.70700	0.00692	4.44089
6	1000.0	NOSF	252254.03900	0.88409	0.57000	0.00919	1.93445
6	1000.0	RMWS	419248.33280	0.81734	0.93900	-0.39850	3.90722
7	1000.0	ROSA	473588.00000	0.74569	0.69700	0.00837	4.08281
7	1000.0	NOSF	209002.44860	0.88902	0.60900	0.00234	1.82327
7	1000.0	RMWS	371781.01340	0.81893	0.93900	-0.38901	3.56312
8	1000.0	ROSA	452178.80000	0.74154	0.72100	-0.01754	3.80916
8	1000.0	NOSF	208489.33180	0.88634	0.57700	0.00862	1.57918
8	1000.0	RMWS	377029.82360	0.80162	0.94600	-0.41672	3.56860
9	1000.0	ROSA	449212.80000	0.75154	0.68500	0.00397	4.03055
9	1000.0	NOSF	250380.32120	0.87065	0.60500	-0.00236	1.66374
9	1000.0	RMWS	383037.06040	0.78543	0.94100	-0.40831	3.70864
Average:	1000.0	ROSA	466139.64000	0.74020	0.69720	0.00332	4.17270
Average:	1000.0	NOSF	224722.84204	0.87876	0.58190	0.00579	1.79846
Average:	1000.0	RMWS	386456.57074	0.79433	0.93400	-0.40423	3.70716
