Workflow Count: 100 alft_Task execution time : 0.2 vita_Data transfer time: 0.2 gama_Deadline Factor: 1.0
Repeat	gama	Name	totalCost	               totalRU	totalSR	   DD	  ST
9	7.0	NOSF	30964.48680	0.84702	0.82000	-0.12152	0.24072
9	7.0	RMWS	16767.37380	0.88936	0.99000	-0.33064	0.53105
Average:	7.0	ROSA	44673.20000	0.74056	0.97300	-0.10847	0.25398
Average:	7.0	NOSF	15875.70760	0.84712	0.81000	-0.09954	0.22004
Average:	7.0	RMWS	13317.76268	0.82441	0.98100	-0.33710	0.51373
0	8.0	ROSA	39631.20000	0.73029	0.98000	-0.10631	0.19193
0	8.0	NOSF	8429.58540	0.86225	0.82000	-0.11575	0.16885
0	8.0	RMWS	12288.78260	0.82048	0.98000	-0.37186	0.45334
1	8.0	ROSA	56400.00000	0.80593	1.00000	-0.13609	0.31171
1	8.0	NOSF	28842.39340	0.85590	0.82000	-0.12411	0.29009
1	8.0	RMWS	13989.45360	0.87213	1.00000	-0.34783	0.60471
2	8.0	ROSA	38518.40000	0.75113	0.99000	-0.13237	0.23221
2	8.0	NOSF	14456.84320	0.83204	0.79000	-0.11233	0.23083
2	8.0	RMWS	14779.61440	0.81303	1.00000	-0.36596	0.51840
3	8.0	ROSA	26579.20000	0.58382	1.00000	-0.15002	0.20139
3	8.0	NOSF	3573.10020	0.77615	0.90000	-0.17412	0.17361
3	8.0	RMWS	4886.78800	0.71561	1.00000	-0.41755	0.41472
4	8.0	ROSA	45286.00000	0.81004	0.99000	-0.16035	0.25383
4	8.0	NOSF	23753.82240	0.84048	0.86000	-0.14302	0.25359
4	8.0	RMWS	15278.45840	0.83674	0.97000	-0.34023	0.47016
5	8.0	ROSA	42703.60000	0.73048	1.00000	-0.12041	0.23910
5	8.0	NOSF	14681.33760	0.85386	0.87000	-0.13783	0.18878
5	8.0	RMWS	11320.57040	0.84381	0.99000	-0.35079	0.45291
6	8.0	ROSA	42127.60000	0.74256	0.99000	-0.10676	0.23895
6	8.0	NOSF	9066.48800	0.85360	0.78000	-0.09525	0.23599
6	8.0	RMWS	11568.43000	0.83303	0.98000	-0.37660	0.59315
7	8.0	ROSA	45584.00000	0.75760	1.00000	-0.11954	0.29315
7	8.0	NOSF	20248.17540	0.84190	0.76000	-0.13511	0.25154
