Workflow Count: 100 alft_Task execution time : 0.1 vita_Data transfer time: 0.2 gama_Deadline Factor: 4.0
Repeat	alft	Name	totalCost	               totalRU	totalSR	   DD	  ST
Average:	0.39999999999999997	RMWS	21563.18190	0.80896	0.61600	-0.08060	0.57001
0	0.44999999999999996	ROSA	60038.00000	0.74413	0.67000	-0.00721	0.42838
0	0.44999999999999996	NOSF	38548.02800	0.80157	0.49000	0.02727	0.28987
0	0.44999999999999996	RMWS	26563.53720	0.84261	0.58000	-0.04911	0.53059
1	0.44999999999999996	ROSA	54502.40000	0.68791	0.69000	-0.01233	0.40009
1	0.44999999999999996	NOSF	29438.68680	0.78208	0.50000	0.04306	0.24774
1	0.44999999999999996	RMWS	16765.62000	0.85775	0.66000	-0.09216	0.49430
2	0.44999999999999996	ROSA	60396.00000	0.78591	0.66000	-0.00946	0.44240
2	0.44999999999999996	NOSF	46580.36080	0.79037	0.44000	0.02662	0.31886
2	0.44999999999999996	RMWS	27263.53360	0.83380	0.52000	-0.05408	0.66344
3	0.44999999999999996	ROSA	45878.40000	0.49246	0.57000	-0.01228	0.40813
3	0.44999999999999996	NOSF	28862.05220	0.61660	0.45000	0.04218	0.28079
3	0.44999999999999996	RMWS	20549.76820	0.63370	0.65000	-0.14625	0.60767
4	0.44999999999999996	ROSA	47692.80000	0.61420	0.68000	0.00726	0.46157
4	0.44999999999999996	NOSF	25651.66840	0.76629	0.33000	0.05831	0.20194
4	0.44999999999999996	RMWS	17562.24460	0.80124	0.58000	-0.08850	0.33904
5	0.44999999999999996	ROSA	50876.80000	0.76340	0.66000	0.05339	0.37562
5	0.44999999999999996	NOSF	29978.97900	0.80553	0.40000	0.03452	0.25772
5	0.44999999999999996	RMWS	22108.64940	0.83237	0.56000	-0.05951	0.41262
6	0.44999999999999996	ROSA	43585.60000	0.64902	0.70000	-0.01205	0.38974
6	0.44999999999999996	NOSF	27308.18520	0.69242	0.40000	0.06937	0.28790
6	0.44999999999999996	RMWS	14300.49400	0.74745	0.75000	-0.14188	0.55327
7	0.44999999999999996	ROSA	51966.80000	0.71774	0.75000	-0.01648	0.32875
7	0.44999999999999996	NOSF	30805.40760	0.79723	0.50000	0.00202	0.26481
7	0.44999999999999996	RMWS	21838.62680	0.81163	0.67000	-0.10393	0.62279
8	0.44999999999999996	ROSA	51505.20000	0.79900	0.70000	-0.00909	0.26097
8	0.44999999999999996	NOSF	34497.15540	0.81357	0.37000	0.06167	0.22316
8	0.44999999999999996	RMWS	22699.79100	0.85564	0.68000	-0.07457	0.50999
9	0.44999999999999996	ROSA	34606.00000	0.54825	0.65000	-0.01537	0.26217
9	0.44999999999999996	NOSF	26617.13440	0.60707	0.47000	0.03804	0.17940
9	0.44999999999999996	RMWS	15900.46180	0.70660	0.70000	-0.15199	0.42318
Average:	0.44999999999999996	ROSA	50104.80000	0.68020	0.67300	-0.00336	0.37578
Average:	0.44999999999999996	NOSF	31828.76578	0.74727	0.43500	0.04031	0.25522
Average:	0.44999999999999996	RMWS	20555.27266	0.79228	0.63500	-0.09620	0.51569
0	0.49999999999999994	ROSA	52488.80000	0.75055	0.73000	-0.01012	0.34574
0	0.49999999999999994	NOSF	35099.98460	0.79429	0.48000	0.02536	0.23292
0	0.49999999999999994	RMWS	17479.25200	0.85343	0.64000	-0.08813	0.47382
1	0.49999999999999994	ROSA	54803.20000	0.71397	0.69000	-0.01618	0.42214
1	0.49999999999999994	NOSF	37745.03640	0.79031	0.45000	0.04047	0.20869
1	0.49999999999999994	RMWS	23730.81520	0.82729	0.58000	-0.05692	0.51078
2	0.49999999999999994	ROSA	49663.20000	0.63382	0.64000	-0.00014	0.38610
2	0.49999999999999994	NOSF	31881.83140	0.71503	0.36000	0.06721	0.29360
2	0.49999999999999994	RMWS	20108.29820	0.76941	0.61000	-0.09281	0.62730
3	0.49999999999999994	ROSA	69437.60000	0.71310	0.62000	0.00133	0.55803
3	0.49999999999999994	NOSF	45061.50520	0.80290	0.48000	0.04851	0.31353
3	0.49999999999999994	RMWS	25406.12840	0.85277	0.58000	-0.05453	0.59990
4	0.49999999999999994	ROSA	66396.40000	0.64884	0.61000	-0.00092	0.61589
4	0.49999999999999994	NOSF	35559.65840	0.78842	0.44000	0.04792	0.33605
4	0.49999999999999994	RMWS	24028.77660	0.80536	0.62000	-0.07302	0.67827
5	0.49999999999999994	ROSA	51582.00000	0.75809	0.61000	0.03230	0.39168
5	0.49999999999999994	NOSF	42067.99180	0.73092	0.48000	0.05228	0.25058
5	0.49999999999999994	RMWS	20574.19060	0.83326	0.66000	-0.09862	0.49994
6	0.49999999999999994	ROSA	61533.20000	0.71444	0.72000	0.00707	0.50013
6	0.49999999999999994	NOSF	25383.99780	0.84126	0.53000	0.03000	0.23021
6	0.49999999999999994	RMWS	18665.80560	0.87280	0.66000	-0.10006	0.55821
7	0.49999999999999994	ROSA	68735.20000	0.75580	0.76000	-0.03868	0.47730
7	0.49999999999999994	NOSF	42947.54760	0.84022	0.45000	0.02469	0.25654
7	0.49999999999999994	RMWS	24867.02740	0.88017	0.60000	-0.05764	0.40845
8	0.49999999999999994	ROSA	53913.60000	0.69963	0.70000	-0.01802	0.40094
8	0.49999999999999994	NOSF	37992.11520	0.74907	0.53000	0.00154	0.27413
8	0.49999999999999994	RMWS	23403.68720	0.80349	0.65000	-0.08163	0.54214
9	0.49999999999999994	ROSA	51387.20000	0.70118	0.72000	-0.03538	0.26891
9	0.49999999999999994	NOSF	27679.39780	0.79288	0.55000	0.02030	0.16617
9	0.49999999999999994	RMWS	19518.35860	0.83338	0.71000	-0.11153	0.31775
Average:	0.49999999999999994	ROSA	57994.04000	0.70894	0.68000	-0.00787	0.43669
Average:	0.49999999999999994	NOSF	36141.90662	0.78453	0.47500	0.03583	0.25624
Average:	0.49999999999999994	RMWS	21778.23398	0.83314	0.63100	-0.08149	0.52166
